COUNTRY,INDICATOR,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
United States,"Current account balance (credit less debit), Percent of GDP",Annual,-3.921,-3.724,-4.173,-4.559,-5.205,-5.746,-5.911,-5.089,-4.716,-2.623,-2.871,-2.919,-2.573,-2.011,-2.102,-2.233,-2.107,-1.874,-2.125,-2.052,-2.777,-3.619,-3.812,-3.337,-4.046,-3.988,-3.624
United States,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,8.312,-5.58,-1.954,2.105,9.644,6.945,9.478,8.762,5.789,-8.311,12.647,7.178,4.019,3.01,3.902,0.32,0.474,4.115,2.854,0.533,-12.623,6.459,7.613,2.79,3.643,1.109,0.455
United Kingdom,"Gross national savings, Percent of GDP",Annual,16.491,16.341,16.149,15.893,15.39,15.882,15.09,14.848,13.744,11.746,13.388,14.259,12.894,11.511,12.368,12.876,12.412,14.949,14.123,15.562,14.638,17.244,16.643,14.286,15.022,13.833,14.097
G7,"Gross debt, General government, Percent of GDP",Annual,,75.105,76.848,79.949,85.151,85.148,82.668,80.997,88.91,103.82,111.946,116.859,121.004,118.669,117.521,116.586,119.617,117.464,117.281,118.223,139.677,132.405,124.604,123.117,123.979,125.691,127.959
G7,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,11.083,-1.062,1.343,1.893,8.496,6.011,9.329,5.914,1.566,-13.054,12.551,5.968,2.601,1.679,4.182,2.833,1.502,4.767,3.036,1.158,-12.232,8.334,7.257,1.694,1.091,0.364,0.628
G7,Unemployment rate,Annual,5.66,5.887,6.454,6.629,6.372,6.17,5.775,5.426,5.864,8.008,8.122,7.626,7.357,7.078,6.364,5.793,5.439,4.973,4.525,4.263,6.497,5.218,4.081,4.076,4.292,4.471,4.397
United Kingdom,"Exports of goods and services, Volume, Free on board (FOB), Percent change",Annual,9.757,2.888,0.944,1.708,5.108,7.56,12.711,-1.561,2.724,-8.848,6.531,6.938,0.748,0.291,1.009,3.771,2.768,6.766,3.079,2.001,-11.792,3.23,12.568,-0.418,-1.162,0.798,1.201
G7,"Gross national savings, Percent of GDP",Annual,23.121,22.037,20.908,20.361,20.954,21.091,21.767,21.2,19.678,17.691,18.93,19.788,20.139,20.129,20.862,21.026,20.771,21.35,21.571,21.793,20.689,21.229,20.766,19.867,19.515,19.792,19.919
United Kingdom,"Gross capital formation, Percent of GDP",Annual,18.322,18.114,18.123,17.716,17.692,17.879,18.21,18.577,17.606,14.814,16.149,15.889,16.04,16.155,17.39,17.824,17.859,18.443,18.05,18.25,17.572,17.681,18.744,17.794,17.679,16.924,17.058
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,0.796,1.234,1.259,1.362,1.344,2.057,2.329,2.323,3.602,2.165,3.298,4.464,2.828,2.565,1.461,0.04,0.66,2.683,2.478,1.791,0.851,2.588,9.067,7.303,2.53,3.402,2.546
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,37.686,34.958,35.434,36.764,39.802,41,42.058,43.174,50.827,64.915,75.86,81.425,84.483,85.316,87.094,87.867,87.825,86.723,86.345,85.657,105.84,105.131,99.614,100.354,101.227,103.361,104.774
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,4.078,0.956,1.7,2.796,3.848,3.483,2.785,2.004,0.114,-2.576,2.695,1.564,2.289,2.118,2.524,2.946,1.82,2.458,2.967,2.584,-2.081,6.152,2.524,2.935,2.793,2.017,2.102
G7,"Structural balance, General government, Percent",Annual,,-2.57,-3.989,-4.473,-4.239,-3.549,-2.928,-3.343,-4.661,-6.381,-7.612,-6.488,-5.202,-3.669,-2.993,-2.543,-2.869,-3.063,-3.155,-3.721,-8.668,-8.005,-5.128,-5.937,-5.788,-5.688,-5.808
United Kingdom,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,9.416,6.197,4.738,1.642,6.733,7.048,10.575,-1.395,-0.99,-7.015,8.973,2.933,2.462,3.239,5.095,4.955,3.98,3.163,3.097,2.72,-15.885,5.81,12.983,-1.231,2.689,1.971,1.424
G7,"Gross capital formation, Percent of GDP",Annual,24.027,22.867,21.95,21.766,22.154,22.604,22.931,22.59,21.878,18.934,19.838,20.484,20.599,20.699,21.121,21.313,21.056,21.471,21.841,21.91,21.661,22.081,22.776,22.008,21.732,21.639,21.49
United States,"Structural balance, General government, Percent",Annual,,-1.581,-3.734,-4.612,-4.499,-3.55,-2.956,-4.047,-6.178,-8.251,-10.054,-8.472,-6.439,-4.362,-3.546,-3.131,-3.853,-4.338,-4.903,-5.749,-10.46,-10.541,-5.973,-7.415,-7.595,-7.72,-7.745
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,1.413,1.9,1.326,1.074,1.78,1.928,1.775,2.271,2.754,0.246,1.119,2.482,2.159,1.607,0.769,0.68,0.367,1.702,1.935,1.354,0.371,3.212,8.666,6.03,2.489,2.114,1.756
"San Marino, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,,,,,,,,,,,,,,,,,,-0.391,-1.887,2.034,2.782,5.396,13.596,21.993,18.324,17.49,17.76
France,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,15.645,2.045,2.537,0.672,5.138,6.533,6.357,5.274,1.083,-8.811,8.127,6.11,0.433,3.049,4.232,5.641,3.649,4.776,3.038,2.076,-12.543,8.051,9.252,0.06,-1.331,2.256,0.737
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,-1.524,-0.173,1.954,1.499,4.514,4.651,5.81,6.672,5.601,5.806,5.744,6.292,7.19,6.71,7.235,8.101,8.909,8.062,8.421,7.873,6.318,6.909,3.811,5.517,5.631,5.419,5.092
Germany,Unemployment rate,Annual,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.342,6.575,5.525,5.083,4.942,4.708,4.358,3.9,3.525,3.192,2.95,3.625,3.6,3.142,3.083,3.392,3.669,3.368
Austria,Unemployment rate,Annual,3.883,4.008,4.392,4.792,5.875,6.025,5.6,5.192,4.425,5.692,5.208,4.875,5.242,5.35,6.05,6.158,6.467,5.942,5.217,4.825,5.475,6.175,4.742,5.1,5.175,5.681,5.554
Belgium,Unemployment rate,Annual,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.992,8.383,7.217,7.642,8.567,8.658,8.667,7.842,7.1,5.975,5.367,5.558,6.275,5.55,5.517,5.7,6.1,6.2
Belgium,"All Items, Consumer price index (CPI), Period average, percent change",Annual,2.682,2.438,1.552,1.517,1.857,2.539,2.331,1.819,4.49,-0.004,2.329,3.344,2.62,1.252,0.495,0.623,1.772,2.225,2.308,1.25,0.424,3.217,10.331,2.294,4.322,2.571,1.266
Belgium,"Gross national savings, Percent of GDP",Annual,26.203,24.126,25.248,24.362,25.765,25.677,25.821,26.099,24.931,23.678,24.018,22.554,23.507,23.66,24.026,24.709,24.735,25.033,24.637,24.8,24.955,26.275,25.612,24.675,23.171,22.867,22.784
Belgium,"Gross debt, General government, Percent of GDP",Annual,109.589,108.217,105.437,101.659,97.17,95.142,91.494,87.325,93.16,99.853,100.245,102.735,104.335,105.032,106.555,105.572,105.475,102.485,100.078,97.573,111.245,108.541,102.701,103.249,104.705,107.502,110.565
Belgium,"Structural balance, General government, Percent",Annual,-0.783,0.055,0.022,-1.061,-1.004,-0.609,-0.714,-0.826,-1.623,-4.141,-4.044,-4.498,-3.81,-3.228,-3.226,-2.437,-2.256,-1.183,-1.818,-2.933,-6.632,-4.978,-4.405,-4.357,-4.636,-5.579,-5.336
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),"All Items, Consumer price index (CPI), Period average, percent change",Annual,2.141,2.515,1.692,1.663,1.937,2.103,2.117,2.047,4.346,1.404,2.237,2.975,2.026,1.529,1.402,0.569,0.947,1.469,1.551,1.082,0.473,2.368,5.656,4.288,2.347,1.942,1.93
Austria,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,10.186,5.192,0.291,3.507,7.975,5.455,5.855,5.635,0.954,-11.899,11.978,5.954,0.923,0.769,2.998,3.639,3.728,5.258,5.105,2.352,-9.574,14.115,7.083,-4.596,-3.34,0.213,1.651
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Unemployment rate,Annual,5.091,5.191,5.194,5.448,5.296,5.078,4.64,4.157,3.974,5.272,5.158,4.672,4.609,4.583,4.585,4.463,4.347,4.152,3.972,3.928,4.618,4.314,3.426,3.321,3.472,3.679,3.663
Austria,"Gross domestic product (GDP), Constant prices, Percent change",Annual,3.19,1.317,1.484,1.142,2.565,2.32,3.269,3.775,1.453,-3.586,1.809,2.927,0.628,-0.251,0.756,1.303,2.117,2.272,2.484,1.755,-6.318,4.795,5.278,-0.955,-0.989,0.27,0.764
Belgium,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,12.157,1.409,7.384,0.337,6.027,4.31,5.032,5.161,-2.909,-12.151,6.468,4.478,-1.112,0.796,2.595,-0.363,5.032,-1.09,0.12,-3.08,-7.818,14.613,2.383,-4.973,-8.437,-1.788,1.996
